"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",1.28054786075044e-05,-4.92638071261184e-05,2.27575612868013e-08,-2.45743318724907e-08,1.56435344390174e-07,6.65597300345164e-08,-1.52096296242009e-07,1.09306498716047e-07,-1.50772056191119e-07,2.01854058425855e-07,3.71438435858846e-08,-1.74864178079722e-08,2.23134808106407e-08,-7.7982909965045e-08,-7.93335688119524e-08,1.16365332466241e-06,6.29622271026442e-08,-2.38001820024423e-07,-6.64738631907586e-08,-3.39845407061856e-08,-7.32155207200704e-08,-8.81954871897317e-08,-1.12511133158345e-07,1.75030206549126e-07,0,0,-2.01907018739217e-07,0,0,0,0,0,0,0,1.43023118329388e-07,-1.47095131013155e-07,-6.70799138656359e-08,1.1099010639007e-07,-3.35575523769616e-08,-1.34650836695041e-07,-1.2297606373967e-06,1.90761409771917e-06,1.67955281174722e-06,1.22445157725124e-06,0,1.48388667631546e-06,-2.02460252366486e-06,1.44168071075631e-07,-2.78355545461399e-06,6.03042099037023e-07,1.25399710319905e-07,2.41066533468066e-07,0,4.84625789333583e-06,-3.36426222262381e-07,1.27686488601089e-07,-9.06067209988315e-06,-3.60407663851262e-09,-3.95015012044313e-09,-2.26661295427377e-08,2.09296140541595e-10,-1.62950862074274e-08,-5.83825307970755e-09,-1.24605032291201e-08,-3.48369636024041e-09,-1.21169193376415e-08,-2.9061436276767e-08,-7.18879849261776e-06,-1.78336575988609e-05,1.98461527668679e-06,0,1.32501458926916e-05,-7.24773129330589e-06,0,-4.83265200511668e-06,6.78883612321467e-06,0,-6.3901178831661e-09,1.96161650717846e-05,0.000178804443551951,0,9.56685887334023e-05,-9.70032126194882e-07,4.26262337463291e-06,0
"east_of_england","alpha_D",-4.92638071261184e-05,0.0472852204034548,-3.90315986799017e-05,2.02691294966589e-05,-0.000122442064264859,-4.48955906705588e-06,2.62402686468322e-07,7.94348822123199e-06,-1.31432067137299e-05,5.14920220973008e-06,-8.4433432925915e-07,-1.13387567878796e-06,-4.91247593208517e-06,-1.18518772506116e-06,1.07582837322638e-05,5.44582330349916e-05,-2.06234118943842e-05,7.7700692151953e-06,-8.52126264976551e-06,-3.4797534352078e-05,3.69099226217151e-06,-9.05030880660683e-06,-1.17782398118919e-05,-1.50333879227547e-05,0,0,2.55425687109921e-06,0,0,0,0,0,0,0,-6.59986479381399e-06,6.68540704709804e-06,1.06119865731764e-06,-1.10112417179271e-05,9.84990335056835e-06,-7.4517720179639e-07,-0.000203783147538665,4.11135470641538e-05,-3.86442885952578e-05,-1.14078395567355e-05,0,-0.000221664133104893,0.000332499239186464,0.000179271322721797,-7.93115117010249e-05,-4.1776185288029e-05,-2.03319255522699e-05,0.000184725429542822,0,-5.91752960134896e-05,-0.000150355394537845,2.73593032685707e-05,0.000158398970789856,-2.57290537200187e-06,-1.81610663495593e-06,-1.85218423747712e-06,-1.36127850133095e-06,-3.9580844134156e-06,-2.21047920683619e-06,-6.33879946092352e-07,-9.03314195190801e-07,-6.88931957665769e-07,2.1890469397558e-07,-0.000543803358337637,1.52871081068142e-05,0.000356878064920591,0,-9.26716819975228e-05,-0.000150994529835876,0,-0.000101141537506061,5.59990494854456e-05,0,-2.44854272288975e-06,0.000489378741681008,0.00829332209217696,0,-0.0318946642145563,-3.43440252931041e-06,0.000187171028577476,0
"east_of_england","alpha_death_hosp",2.27575612868013e-08,-3.90315986799017e-05,8.23221965719123e-06,-6.22955244906729e-07,7.99775843728512e-08,6.74931939941274e-08,-2.15368593809623e-07,7.3297841295432e-08,-5.35644629501615e-08,-9.41683659698154e-08,1.85912454657463e-07,-4.06192531777336e-08,2.65378015363402e-08,-2.4245119387383e-08,-1.1192084414518e-08,4.19177317239396e-07,-4.54301745428969e-08,-6.82114873980858e-08,1.55243048273275e-08,-1.82910556959291e-07,2.3683304039618e-08,-9.55838639180296e-08,-8.11279408739079e-08,-1.63005810586585e-07,0,0,1.34929077357448e-07,0,0,0,0,0,0,0,-1.27852441425123e-07,1.45050690392366e-07,-1.44738753556925e-07,3.74887228610892e-08,4.20656826285294e-10,-1.65907499161374e-08,3.26147793893226e-06,4.13979446529457e-06,1.84389897157561e-06,5.81935933774889e-06,0,3.05796289065028e-06,-7.09785475608261e-06,-8.31051359471493e-07,2.82116467497441e-08,1.5011507022651e-07,2.76739225027035e-07,-5.60022916555986e-07,0,-2.64401488774434e-06,-1.50994684486857e-07,3.61947631770729e-07,-1.56557310416834e-06,9.54440720899732e-09,-2.07621534920716e-08,-1.41393429736138e-08,8.09174829038818e-10,6.3917140640985e-09,-1.76639966860743e-08,-1.07855328456795e-08,-6.17519006356855e-09,2.33415796697782e-09,5.6422916211183e-09,-5.20483032341255e-06,-2.57636753135215e-05,1.3645394552706e-06,0,2.22248047573508e-05,-5.65682047323384e-06,0,-1.13586499771664e-05,1.40114280620493e-05,0,4.1548805371831e-08,-4.95056475495357e-05,3.95651355063748e-05,0,7.58434325839585e-05,-2.96506952714466e-07,1.91597440544508e-06,0
"east_of_england","alpha_H",-2.45743318724907e-08,2.02691294966589e-05,-6.22955244906729e-07,4.21037712650336e-06,1.01322165450338e-07,-8.24700576333562e-08,5.16412644038393e-08,-2.98177890772962e-08,1.6766930611228e-08,3.48786149352862e-08,5.56640819277347e-08,-7.7972629590483e-09,1.64998477843152e-08,-9.2344056021779e-08,7.55888163812482e-08,-1.67885844515546e-06,2.04040425194806e-08,8.35228355350359e-08,-9.96937071132261e-08,9.69872840754090e-09,8.22005077542999e-10,4.68395744540138e-09,5.98759598282638e-08,-2.46644479769305e-08,0,0,-1.15585385551828e-07,0,0,0,0,0,0,0,5.38089476515729e-08,-6.37923847483665e-08,1.01938661026294e-07,1.41037573588424e-07,1.1032638188487e-07,-2.64654844065331e-07,2.95838068124665e-06,1.17276912830899e-06,-8.93528476573229e-07,-1.233005211976e-06,0,7.75889705882594e-07,4.42454180787091e-06,1.17161749146342e-06,-3.80837239468159e-06,3.97290410592631e-07,-1.54767314209933e-08,-4.27711952023326e-07,0,-1.50231630620151e-06,-2.10828523818954e-06,4.7389471898427e-07,1.96769589028451e-06,-1.21072636767804e-08,4.17337856640209e-10,8.21061497673763e-09,-5.03261844589258e-09,-9.36794190022396e-09,-6.37151712013206e-10,8.98764879577479e-09,1.50992302604478e-09,-6.94450858218344e-09,-1.03888274121323e-08,-3.08590203352273e-06,1.39299417719449e-05,-2.26354521224785e-06,0,-4.8322431601941e-06,9.31986610438743e-06,0,-2.2335332553353e-06,-8.55247251682324e-06,0,-2.74616747838145e-08,-1.24299436990144e-05,5.7673323236241e-05,0,-0.000121361458050858,-3.87107929964545e-09,-9.69117099737096e-07,0
"east_of_england","beta1",1.56435344390174e-07,-0.000122442064264859,7.99775843728512e-08,1.01322165450338e-07,4.87092994716842e-06,-7.92047668414429e-08,2.37090659744814e-07,-8.23365646298078e-08,1.62266242303068e-08,1.07649942051563e-07,-6.00874547499544e-08,6.0304491441259e-08,-6.68615313003088e-09,1.32905075143453e-07,-8.98848405517495e-08,-4.36921889786449e-06,1.04108089075467e-07,-2.53772717047291e-08,6.06687840274655e-08,8.37027594033802e-08,5.03959013398151e-09,5.39696857247519e-08,8.6419874956104e-10,-5.05364003096412e-07,0,0,8.59537333616827e-08,0,0,0,0,0,0,0,1.71062255711892e-08,-7.09762641770058e-08,7.68046862644222e-08,2.40972348464033e-08,-3.75093825146662e-08,8.54031771565909e-08,1.31325852208882e-07,1.87671045776012e-06,3.40697584927589e-06,2.83767616203661e-06,0,-8.63843712634724e-07,-2.15317160358885e-06,1.39783996423093e-06,-1.65914439764562e-06,2.81902252050315e-07,1.96833629559721e-07,-1.50836519574407e-06,0,8.06425675172595e-07,-5.24346607838683e-08,1.90632433189786e-07,-8.1829054490168e-08,7.89392729960513e-09,8.83251888075792e-09,9.87134546089142e-09,9.37499259511823e-09,2.93739852912302e-09,1.06958937266182e-08,2.74004941320186e-09,8.1517158998882e-09,4.69500378322956e-09,1.43509832424975e-08,1.17358111253423e-05,-2.49796420413366e-05,1.32298677307517e-06,0,6.99974288606064e-06,1.48690500231306e-06,0,-4.07500247996472e-07,-2.76996136077324e-06,0,-1.18460429222423e-08,-4.29859410623449e-05,-1.63215347561811e-05,0,0.00118867812249293,-8.98002636985387e-07,5.99775050583993e-07,0
"east_of_england","beta10",6.65597300345164e-08,-4.48955906705588e-06,6.74931939941274e-08,-8.24700576333562e-08,-7.92047668414429e-08,6.14251310342554e-07,-6.22184296666538e-07,1.32630267641276e-07,-3.7385967576696e-08,3.04368402959883e-08,-3.75135043292594e-08,1.53652649433391e-09,-1.41947969907246e-09,-2.20237390079631e-09,-1.02881994751103e-08,1.52803380827036e-07,1.7210335017126e-09,-3.19266007862121e-08,-1.48733814844908e-09,-2.03108111156466e-09,-6.93000162501064e-09,1.14997843336622e-09,-8.40068402320121e-09,3.74228450397198e-08,0,0,-1.70435895195784e-08,0,0,0,0,0,0,0,1.95183538125652e-08,-3.76749438018135e-08,8.452733131602e-08,-1.37631631169422e-07,3.57041197127133e-07,-6.67347487411621e-07,1.4481102032807e-06,5.73128801640947e-07,6.88122498714835e-07,1.96420732442497e-06,0,7.32446868158281e-07,2.95713162894848e-07,-4.12869901373483e-07,8.19733341605623e-07,-2.01347349793234e-08,3.0429182973642e-08,-4.30636133193252e-07,0,-3.84618982394951e-07,6.07696983083417e-08,1.49192989181777e-07,-9.42481249358242e-07,3.43867345070953e-10,-3.37373261487646e-09,-1.11815972060577e-09,3.71282099595529e-10,4.94840447437804e-09,3.51950048176904e-09,2.26254131572492e-09,6.37383687420045e-10,7.14108877841975e-10,-7.5283544553438e-10,2.40886047772196e-06,-4.78008502946057e-06,-2.09290164293567e-06,0,2.54285030340384e-07,-6.45417250786561e-08,0,-3.98883210632287e-07,-1.41192154759314e-06,0,5.79500008060422e-09,3.92481823872516e-06,-2.6127153474523e-05,0,-1.92988986313588e-05,2.49000015715846e-07,2.73682946345241e-07,0
"east_of_england","beta11",-1.52096296242009e-07,2.62402686468322e-07,-2.15368593809623e-07,5.16412644038393e-08,2.37090659744814e-07,-6.22184296666538e-07,1.09298397122571e-06,-3.96198356578346e-07,1.46344702836159e-07,-1.0756346629688e-07,4.78596522112846e-08,-7.13112124025888e-09,1.31875107872228e-10,-4.20519388008506e-09,-3.52581820007486e-09,-1.8788698625813e-07,2.965181608319e-09,3.26749451194959e-08,-3.86007262288232e-08,3.58515700580376e-08,1.99882043918315e-08,-1.22874953973637e-08,2.57424513011293e-08,1.10102504713844e-08,0,0,1.48923323869699e-08,0,0,0,0,0,0,0,-1.43494867141757e-08,3.69838059016791e-08,-7.82109474506222e-08,1.28343606547456e-07,-2.61185501576034e-07,5.07131974489196e-07,-5.727389967032e-07,1.99687377033268e-07,-1.68128841139192e-07,-1.53946918442439e-06,0,-9.78353507688718e-07,-2.80091704113146e-08,8.2303667335986e-07,-1.52199433766223e-06,6.52617847072451e-08,3.50440665094912e-08,-7.78262928253177e-08,0,-2.63003154324004e-07,-5.71177834815631e-07,-1.91971930459652e-07,1.62615964500567e-06,1.80305265213844e-09,8.80633161770326e-09,4.42116586758964e-09,5.36571406607439e-09,-3.20140637804824e-09,-1.39639528250259e-09,-5.04815087946866e-10,1.57194495991745e-09,1.93205712109492e-11,2.88022084877041e-09,-2.77634695083858e-07,-1.57643189444242e-06,3.48842275665684e-06,0,7.95129702946162e-07,4.4289707615222e-07,0,1.30921887080976e-06,1.65420192749255e-06,0,-5.10947717582777e-09,9.50108137028361e-05,1.28372501813771e-05,0,5.39701512991847e-05,3.79109003877747e-07,-5.22882566634586e-07,0
"east_of_england","beta12",1.09306498716047e-07,7.94348822123199e-06,7.3297841295432e-08,-2.98177890772962e-08,-8.23365646298078e-08,1.32630267641276e-07,-3.96198356578346e-07,3.76358219989832e-07,-2.21892266372412e-07,1.57597349401245e-07,-7.58325156875958e-08,-2.03905293201209e-09,-1.5545153899776e-08,-2.35134362534978e-09,-1.38523976578716e-08,-5.17227670923679e-08,-3.26088159072482e-08,-2.36157083321576e-08,-4.88339338465423e-08,-1.08657903293922e-08,-3.32832985328994e-08,-1.97191123632617e-08,-4.04905719498944e-08,-7.37655194009957e-08,0,0,6.60485037578379e-09,0,0,0,0,0,0,0,4.90735413081667e-10,-8.89806369678828e-09,2.88335050787937e-08,-3.12613821679714e-08,6.14962573839343e-08,-1.03278769846578e-07,-2.32836466385659e-07,8.21051407594508e-07,2.85249605699565e-07,4.72956472189194e-07,0,4.64603948919039e-07,-4.94233743101263e-07,-2.99000039485847e-07,2.16608849915318e-07,-1.72312297119774e-08,-4.25642099236413e-08,-2.5359639449736e-07,0,-1.23258311620791e-07,7.32309564794076e-08,1.2997835050542e-07,-1.25534388704858e-06,7.87071925284943e-10,-1.47968735184519e-09,-1.18715591207227e-09,-3.1590005721744e-09,3.74481330165054e-09,1.39089973945258e-10,1.76973647008598e-10,-1.10434785075218e-09,1.23077616740148e-09,-4.78249419012669e-10,2.53738162565327e-07,-2.98333086998259e-06,-1.29814267175996e-07,0,6.70862026116563e-07,-2.30753027891282e-07,0,-1.10557714861443e-06,-6.05948571970647e-07,0,9.31169296005115e-10,3.14730624412161e-05,7.47336412939052e-07,0,-2.7824576410817e-05,6.74787615858784e-07,7.47130986020876e-07,0
"east_of_england","beta13",-1.50772056191119e-07,-1.31432067137299e-05,-5.35644629501615e-08,1.6766930611228e-08,1.62266242303068e-08,-3.7385967576696e-08,1.46344702836159e-07,-2.21892266372412e-07,2.41943915100006e-07,-2.01532840932084e-07,1.04586604789061e-07,8.71735471172187e-09,2.33224686201369e-08,1.20776574289995e-08,2.58801780864252e-08,9.59449070434101e-08,2.78479049511869e-08,3.38181735817655e-08,6.29171528923499e-08,2.01975734037901e-08,2.83090830689654e-08,3.93151974739173e-08,4.57051397216935e-08,4.52555653237216e-08,0,0,-5.35217081055842e-09,0,0,0,0,0,0,0,2.15764272455074e-10,5.27157188800656e-09,-6.34186713378365e-09,1.99861286377147e-08,-3.23972168434631e-08,4.80823678883567e-08,3.29858063476392e-07,1.68279960161811e-08,1.92000553407984e-07,1.5455382076554e-07,0,2.89448063053819e-07,1.16098788262789e-07,4.56007975600011e-07,-2.10521344927622e-07,7.17660558817074e-08,3.22164846148995e-08,-2.50514685504832e-07,0,-2.41949022490205e-07,-3.11079364763652e-07,-2.54849875513335e-08,1.20626178084115e-06,1.14470738076159e-09,4.65492535978481e-09,3.43228487348013e-09,4.22277010427557e-09,1.977152041972e-09,1.98995687555938e-09,1.65908239255015e-09,1.74375915492482e-09,1.99687137589569e-10,1.00150719611848e-09,-2.78449615646296e-07,-1.36560471789547e-06,-5.1878816726669e-09,0,-4.34288971707743e-07,5.85336958701456e-07,0,5.00374949881239e-07,4.53337152058686e-08,0,5.8290877705605e-09,-1.66406849041157e-05,-1.48560483363831e-05,0,3.96014670481138e-06,-7.45563078637762e-07,-6.19365716452073e-07,0
"east_of_england","beta14",2.01854058425855e-07,5.14920220973008e-06,-9.41683659698154e-08,3.48786149352862e-08,1.07649942051563e-07,3.04368402959883e-08,-1.0756346629688e-07,1.57597349401245e-07,-2.01532840932084e-07,4.76409349724363e-07,-2.1137704163596e-07,6.23964061175306e-08,2.04022073890403e-08,8.82585293651124e-08,2.27251301367803e-08,-2.16336829056452e-07,6.18806934585845e-08,3.1948943783404e-08,6.14487310373405e-08,7.63592747388446e-08,3.31513666346192e-08,5.04017309515557e-08,3.6314593993749e-08,1.40445892557665e-07,0,0,5.6615376832387e-09,0,0,0,0,0,0,0,2.13313151718714e-09,-2.93365881860709e-09,2.79983951632521e-08,-3.65216043907148e-08,5.91847314792031e-08,-4.37469095772973e-08,8.08314295273702e-07,1.24908868953845e-07,-2.94594206555381e-07,3.69686908074768e-07,0,6.10599786062958e-07,-7.36110555146958e-08,3.67859117972143e-07,5.48814769170619e-07,5.43147822405078e-08,-2.02705044699113e-08,-3.57319083250526e-07,0,3.56093089140891e-08,-3.83433619590762e-08,1.50160634604828e-07,-1.1107526557091e-06,3.63974928288435e-10,-1.1166005869791e-09,-8.33009491950967e-10,-2.08418005840938e-09,-7.36769900764125e-10,-2.98177050888354e-10,7.96974339715461e-11,-4.96175964782355e-10,2.1344727950469e-10,3.75278177034812e-09,2.16058261307918e-07,2.22087528360277e-06,-1.57792717854879e-06,0,2.25664393884245e-06,-7.45782594965733e-07,0,-8.85936568081146e-07,6.55401570168829e-07,0,-3.88229646685038e-10,-0.000125948997487777,8.86698550891401e-07,0,1.66775988097324e-05,-2.39368617540523e-06,2.29002921237952e-07,0
