"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",1.98700640224828e-05,-1.42734249200407e-05,2.16359949327241e-06,-9.45553754621959e-07,-5.94307335167882e-07,1.65302678569441e-07,-4.05951216588527e-08,-2.16574923464747e-07,1.15771406982353e-07,-2.09432028839278e-07,1.54222777070942e-07,-1.30812224241626e-08,-6.19994859820783e-09,9.79329135821698e-08,-1.0995689960136e-07,2.50256041041155e-06,-1.51049858358563e-08,-1.06559658878899e-07,-4.20196984382681e-07,2.99044602352902e-07,-7.48323531269169e-08,-3.33998506711881e-08,-1.17033816631719e-07,2.08297800085596e-06,0,0,4.21571644000902e-08,0,0,0,0,0,0,0,-6.91341067635521e-09,-3.85219223286726e-08,5.9161035937752e-08,-1.66930107484712e-07,1.32283663608313e-07,-2.0029696376882e-07,-1.11660421723821e-06,-5.09352285926023e-06,-1.37393255412234e-05,-4.6265984289688e-06,0,1.20284523392891e-05,-9.29915646143923e-07,3.05437868658709e-06,2.68538118556234e-06,7.00141202645432e-06,-1.35947373075686e-06,1.46542117748705e-06,0,3.5311282672449e-06,2.06646711775897e-06,-7.45219781581676e-07,-2.89676331619818e-06,2.88810657148831e-05,5.78376577494673e-05,7.59780387308996e-05,-2.59413260755463e-05,6.16103351967329e-05,9.09259110674185e-05,5.51313234135551e-05,0.000130420001693168,0.000124041805883541,1.91460831966614e-05,-1.48006644068435e-06,5.71578918831247e-05,-1.40157427632538e-05,0,-2.00518788876543e-06,-9.13194882973616e-06,0,6.77700574341325e-06,1.02514189611852e-05,0,-9.17019491320323e-05,-4.93900045770046e-05,-8.90258851198265e-05,0,4.50736241483956e-05,-1.07236064224655e-06,2.85807125267189e-06,0
"east_of_england","alpha_D",-1.42734249200407e-05,0.00112632502180133,-1.53517071826373e-05,8.06809278059347e-06,1.41557544676944e-06,-2.2094497866816e-06,2.31170874816318e-06,-1.12875990850756e-06,1.0931252764088e-06,-4.06817582019868e-07,-1.23969000318375e-06,-1.38903450824106e-07,5.28242313960523e-08,-5.85337195433765e-07,1.38131798639455e-07,-4.79765392780283e-06,-2.69537778806862e-07,2.13379585200716e-06,2.0238121912935e-07,-1.21181424945514e-06,5.49812779611007e-07,3.27743640185647e-07,-3.72018668931288e-07,-3.03311807446727e-06,0,0,-2.0957524350681e-06,0,0,0,0,0,0,0,1.2079193310183e-06,-1.61106129243145e-07,2.20088831119338e-07,5.06301429943168e-08,1.13189887253087e-07,1.63282963314808e-06,-8.4497067833894e-06,3.41858706073256e-05,0.000141057558494732,4.06334317178418e-05,0,-9.61553957793889e-05,4.87705535258433e-05,4.36009657210591e-05,1.47430624941135e-05,-7.86719479730229e-05,1.82934426266003e-05,-2.90308798290425e-05,0,4.25340705932918e-06,-8.72200098404967e-06,7.22838469421991e-06,-3.03827688965764e-05,-0.000139197951059863,0.000637687163975792,-0.000112432608919457,0.000144469088079311,0.000936369506972614,6.93985919452455e-05,-2.18277271071694e-07,-0.000123392462738986,6.3205417517952e-05,-0.000431533357954389,3.89631478423895e-05,-0.000626728516892983,0.000195899340573045,0,8.0610714039777e-05,8.71216246721547e-05,0,-3.63542901240778e-05,-4.32846649437484e-05,0,0.000173704271027116,-0.000179012426866305,0.000164404548430946,0,-0.000450972709311491,5.0130909602688e-06,-2.5731089860928e-05,0
"east_of_england","alpha_death_hosp",2.16359949327241e-06,-1.53517071826373e-05,2.94572953544064e-05,-1.54919314372847e-06,-1.10507726191937e-06,-2.64490753431851e-07,2.72780725180552e-07,-2.26244923417564e-07,1.90751085637049e-07,-4.335385612968e-07,4.23585554084652e-07,4.38598554923799e-08,1.253268761368e-07,-1.688061930574e-07,1.6568683403733e-07,1.9271127253962e-06,5.23041903883026e-08,1.48675570184941e-07,2.1790041258937e-07,3.37686237997227e-07,1.20051994189864e-07,1.38916177943764e-07,2.933669792145e-07,2.24752037023122e-07,0,0,3.5982853995329e-07,0,0,0,0,0,0,0,-8.27472503846683e-08,2.99522881532605e-08,-2.4971885655502e-07,4.37798275732399e-07,-5.95243241415868e-07,5.11474794768239e-07,9.91653625779656e-06,2.3547201406401e-06,-1.10453229931874e-05,1.27368831903913e-05,0,2.10044298599059e-05,-8.537649192393e-06,3.32877879058736e-06,-7.61718504693246e-07,1.67903406346368e-06,1.44119753409499e-06,-6.90483199095614e-06,0,-1.48263165688064e-05,4.80872413115603e-06,3.90586833420247e-07,2.40792400106945e-05,7.08022234755623e-05,4.38299656297736e-05,6.35118334730346e-05,2.92922863437334e-05,6.74999030479185e-05,4.53586478872365e-05,4.65191099342363e-05,4.8944106716084e-05,7.2003718420423e-05,0.000103501700610591,7.8185650586437e-06,2.06427513425709e-05,-1.02082869552067e-05,0,2.06196080101573e-05,1.80257537220724e-06,0,2.52166585957731e-06,-2.00714215583955e-06,0,4.56127111640437e-05,-0.0002538223252958,-0.000147994543115673,0,-8.28443615560717e-05,-2.7817261963595e-06,-4.60826788239294e-06,0
"east_of_england","alpha_H",-9.45553754621959e-07,8.06809278059347e-06,-1.54919314372847e-06,1.73937002122925e-06,1.22060030409908e-07,1.04921174986909e-08,-1.37972482178038e-07,1.88722109069492e-08,4.10214520798046e-08,1.00758054753639e-07,-8.81715212155327e-08,1.89315433033022e-08,2.3289870516339e-09,-6.76571107745642e-08,1.1679428455709e-07,-1.34214374032476e-06,7.50341720327719e-09,5.63641637930766e-08,2.51555822481378e-07,-3.11374439911414e-07,7.58116883151366e-08,2.38666529117198e-09,-3.45360786235273e-08,5.58456019388315e-07,0,0,-1.09467434790625e-07,0,0,0,0,0,0,0,3.28258279131233e-08,-4.6947122367795e-08,1.42656671878879e-07,-6.65419304947675e-08,2.20891334441813e-07,-1.24927933456482e-07,4.00655897694523e-06,1.55399067410065e-06,4.13777964868601e-06,1.47220957741672e-07,0,-2.3780901907642e-06,3.13946752048244e-06,1.48587989710101e-06,-3.45158605450763e-06,-4.63305608461849e-07,9.3755103103882e-08,-4.62243196492298e-07,0,-1.58666752064565e-06,-2.08943435831442e-06,6.48162588291291e-07,-4.6380089614724e-06,1.09205578904196e-05,2.49479333077884e-05,3.63309014262269e-06,4.03455640388863e-06,2.67647517095303e-05,1.037447597995e-05,1.46667134365249e-06,1.83035009224316e-05,4.04670629117003e-06,7.22279912640936e-06,-2.07194351119271e-06,-7.47519475884531e-06,2.70263120221295e-06,0,1.00699455218426e-06,7.31861230118623e-06,0,-4.5925746003874e-06,-5.82454426564672e-06,0,-2.1037512835818e-05,-5.11510916183296e-05,0.000118927150892994,0,-9.15816943131919e-05,-6.11804869562991e-07,-8.06897394674695e-07,0
"east_of_england","beta1",-5.94307335167882e-07,1.41557544676944e-06,-1.10507726191937e-06,1.22060030409908e-07,9.11892318255934e-06,1.5837150188628e-07,-2.31419707357351e-07,-3.7189552330806e-08,7.99410671725419e-08,-1.62823908548664e-07,9.46750540041552e-08,-1.40714837302889e-08,6.11965772297453e-09,8.0109748676841e-09,-8.47837074415038e-08,-7.48894202980205e-06,8.61576466426736e-08,-1.82297900850207e-07,2.80474433283119e-07,-2.39610396766568e-07,-5.11411037034922e-08,-7.41418814357961e-11,-5.86282956515421e-08,1.52285135319899e-06,0,0,1.72831551357478e-07,0,0,0,0,0,0,0,-6.04152472057625e-08,6.14493954251724e-08,8.94795673543623e-08,-2.12943364242156e-07,3.24960575997463e-07,-1.94561898989107e-07,2.81411312770421e-06,-1.71646015876938e-06,3.7211779474865e-06,1.88586157779359e-08,0,-4.32881602643781e-06,2.14374893723398e-06,-1.18149140896939e-06,5.00530989739788e-07,8.69143256068418e-08,4.40370587208763e-07,-5.34910867311755e-07,0,3.889830449456e-07,8.44750328995235e-07,-1.44351702284517e-07,6.68431367335866e-07,-7.73799321474402e-06,2.04011126107122e-06,-5.19998106028823e-05,2.88729529269979e-05,2.73533275768132e-05,-2.92056425111046e-05,-1.77381519020345e-05,-2.64779042594841e-05,-8.48822590263843e-05,-3.77689449949941e-05,9.8778709252807e-06,-9.93012194928637e-06,3.5937272879428e-06,0,5.60040803602941e-07,-7.57678105569501e-06,0,5.86565626363752e-07,2.58947238792482e-07,0,5.58285610651469e-06,-3.7351479382944e-05,2.64693358943736e-05,0,0.00170288885902959,4.59694384308043e-07,1.89134992915105e-06,0
"east_of_england","beta10",1.65302678569441e-07,-2.2094497866816e-06,-2.64490753431851e-07,1.04921174986909e-08,1.5837150188628e-07,9.63147809158498e-07,-1.08183071980796e-06,3.13394305959584e-07,-1.01303404743886e-07,4.67399951065211e-08,-4.80465890933939e-08,-3.07084194577369e-09,-7.86299168617268e-09,-4.82783606807520e-09,-4.19443143088937e-08,-9.12573257356458e-08,1.81753553097625e-08,-4.51109024546801e-08,1.91066385940008e-08,-2.47273139868219e-08,-1.05624257431449e-09,-1.06950381805682e-08,9.95726360665142e-09,1.11898032171515e-07,0,0,5.05331376420591e-09,0,0,0,0,0,0,0,3.33264733371284e-11,-1.63594220712125e-08,8.51372698700426e-08,-2.04807928712589e-07,6.49376060738877e-07,-1.11133010636593e-06,-4.68739809149242e-07,3.4900017368099e-07,4.70505818827267e-07,-2.94933405303635e-07,0,1.50479450997137e-06,-1.73937947917361e-07,2.79858406528425e-07,-5.69213595378549e-07,1.71622606100262e-07,-1.2598113632091e-07,-4.01371678970019e-07,0,-2.80645538046388e-07,5.88811397607856e-08,-5.24579219520093e-08,5.31534796554452e-07,-1.34391827415286e-05,-1.08495921100228e-05,-2.38857490409009e-05,2.27590934144758e-06,-9.95924692537319e-06,-8.49464236856677e-06,-4.97320906686444e-06,-1.70010438759755e-05,-4.12027383705269e-06,-8.62679109200373e-06,-1.02022490521168e-06,-3.55335241956502e-07,-7.51804839063902e-09,0,1.04320430550229e-06,1.78646202701641e-07,0,3.08686381324686e-07,-9.27633898143285e-07,0,7.78534833851926e-06,-1.14149454671985e-05,-1.30849187416333e-05,0,2.79308636154121e-05,6.08914791899388e-07,2.64333466338384e-08,0
"east_of_england","beta11",-4.05951216588527e-08,2.31170874816318e-06,2.72780725180552e-07,-1.37972482178038e-07,-2.31419707357351e-07,-1.08183071980796e-06,2.04726868430164e-06,-9.50432939371632e-07,4.09309150639994e-07,-3.22832034325863e-07,1.96834736762453e-07,-1.60743086687106e-08,1.67097923558793e-08,-1.16322526223487e-08,4.72710511394468e-08,2.17016244861887e-07,-4.03609235362433e-08,6.95636907482669e-08,-1.65625910427865e-07,2.04883204522535e-07,-9.18300744702246e-08,6.6238918712713e-08,-1.15843596283652e-07,6.02269197653081e-07,0,0,4.66927650340374e-09,0,0,0,0,0,0,0,-1.61118513386444e-09,3.16052991907427e-08,-8.28444041179211e-08,1.85498213015437e-07,-5.4320458402392e-07,9.67467775859656e-07,6.09227255803252e-07,-5.61778804384033e-07,-3.30779688949758e-07,1.80090532451304e-07,0,-2.26022224375962e-06,1.9750735355204e-07,-6.17624070302294e-07,6.98934110550442e-07,-1.29525805335361e-07,2.18245808619254e-07,-4.67282290573536e-07,0,2.25062593069754e-07,-1.55905538532186e-07,-1.40801009606146e-08,3.31066810647975e-08,1.35315101342521e-05,2.42502340354933e-05,4.53518192046062e-05,-2.89896749483367e-06,1.43148627565428e-05,2.09421959252459e-05,1.04492764743611e-05,2.57654548487449e-05,7.7745805169138e-06,2.30945697937679e-05,-8.29617004973041e-07,-5.94677545885638e-07,-5.52111619876403e-07,0,1.39419792527734e-06,1.27970141911453e-06,0,-3.06392641993648e-07,1.40559631208995e-07,0,-1.34097985674764e-05,0.000144000568993938,1.79795740270119e-05,0,-4.482192860765e-05,2.24870881998102e-08,1.13937803170144e-07,0
"east_of_england","beta12",-2.16574923464747e-07,-1.12875990850756e-06,-2.26244923417564e-07,1.88722109069492e-08,-3.7189552330806e-08,3.13394305959584e-07,-9.50432939371632e-07,8.78101373827663e-07,-5.52083623260815e-07,4.74729311722081e-07,-2.42120974287944e-07,9.84203406411312e-09,-1.83810745761177e-08,-9.23842417382806e-09,-2.38753821964128e-09,1.87474217097198e-07,-1.60174453141495e-08,-3.07132019918084e-08,9.08936055885233e-09,-7.8229969245984e-08,4.75577062881485e-08,-6.7996372126814e-08,5.78368985627638e-08,-2.66268617004721e-07,0,0,-1.07277535906649e-08,0,0,0,0,0,0,0,2.97798712695049e-09,-6.71114135021702e-09,3.32329910572478e-08,-7.00702008422558e-08,1.60675059239135e-07,-2.24403912932155e-07,-3.50593720169801e-07,1.30382124177698e-07,-2.5078262618266e-07,1.10155903041107e-06,0,1.03157119581793e-06,-9.82194710505456e-07,1.80140402438531e-07,-1.87328150949418e-07,2.28418196228099e-07,-1.37601451141391e-07,-4.75832756970226e-07,0,-1.18782825027658e-07,-1.17430624308726e-07,-4.00479220442134e-08,-1.24711536922468e-06,-1.3787796989544e-05,-5.95365526601016e-06,-1.83577104683361e-05,-9.66830858811213e-07,-4.59055326439001e-06,-9.39132547154402e-06,-1.89245141486347e-06,2.84696301390015e-08,2.00926503675342e-06,-1.98511618703151e-05,1.72892061903525e-06,1.65100998201877e-06,-9.36107305653171e-07,0,1.1929951491846e-06,-1.36449851573213e-06,0,2.00445815494849e-07,6.95372593548073e-07,0,-4.77697711458863e-07,-3.7722120781541e-06,1.09055725542401e-05,0,-5.90971016866801e-06,7.49550183176944e-07,2.84924744399075e-07,0
"east_of_england","beta13",1.15771406982353e-07,1.0931252764088e-06,1.90751085637049e-07,4.10214520798046e-08,7.99410671725419e-08,-1.01303404743886e-07,4.09309150639994e-07,-5.52083623260815e-07,5.14340674430764e-07,-5.31803967397892e-07,3.00948102075922e-07,-1.22954817716973e-08,3.26581537179899e-08,-1.03961802578164e-08,2.18611751851572e-08,-2.16245069017518e-07,1.99020366098418e-08,3.25418423942839e-08,2.31661935095543e-08,5.80927220000592e-08,-2.67685592703363e-08,6.62643183445592e-08,-4.57446855648533e-08,4.37557569345162e-07,0,0,3.23135253134920e-09,0,0,0,0,0,0,0,3.47077073947903e-09,3.92140951510903e-09,-5.3191993976185e-09,2.18490161317158e-08,-3.26048915005218e-08,5.56616052480319e-08,4.9331567250622e-07,5.36167169472029e-07,9.68653699493726e-07,-5.86753468757737e-07,0,-1.36265705679817e-06,9.8422838295925e-07,-5.85316709428382e-07,5.72800765850291e-07,-1.44168875159781e-07,2.44956327556648e-07,-3.74968612401208e-07,0,2.0292910108248e-08,3.70579972596307e-08,1.36060925890751e-07,6.15100204411069e-07,2.74036532412323e-06,-8.04164684121643e-06,9.56281843857049e-06,4.21812823051396e-06,-5.05629991802288e-06,-4.29599393069706e-06,-6.29797291700431e-06,-9.03093858968559e-06,-1.56837890439178e-06,7.07656507643028e-06,-9.69528561869544e-07,-4.8887633698128e-06,1.33987675765319e-06,0,1.08600210580702e-06,-8.42991895171617e-07,0,-9.84667779741352e-07,-1.76684595613679e-07,0,-3.02978804255126e-06,4.99347447924087e-06,-1.1735044911977e-05,0,5.63515545055761e-06,-6.66686676613876e-07,-4.14434825380021e-07,0
"east_of_england","beta14",-2.09432028839278e-07,-4.06817582019868e-07,-4.335385612968e-07,1.00758054753639e-07,-1.62823908548664e-07,4.67399951065211e-08,-3.22832034325863e-07,4.74729311722081e-07,-5.31803967397892e-07,1.09872216956338e-06,-7.1869022905864e-07,1.23724137302228e-07,-2.740661600355e-08,2.04709657664365e-07,-4.26997051826182e-09,2.25118069321268e-07,5.64016542614351e-08,9.91733613549552e-09,1.24397417564913e-07,-1.05088808925127e-07,1.31225978600008e-07,-4.35313100001507e-08,1.57376317575035e-07,-5.90659021046037e-07,0,0,-1.5447812598579e-08,0,0,0,0,0,0,0,-1.55202605494476e-09,-7.00264104569677e-09,1.65268285248577e-08,-2.11302643520223e-08,1.12622831694759e-08,-2.66819671061198e-09,-4.04898353956391e-07,-4.45493183532061e-07,-1.3182635352945e-07,1.88967045624545e-06,0,1.41362406605897e-06,-7.00990412383826e-07,1.34455920767884e-06,-5.994993421084e-07,3.42301382957813e-07,-1.96169343556095e-07,4.59180272604903e-07,0,-5.34985495191717e-07,-1.28687410189612e-07,-1.34401761673773e-08,6.59225492647561e-07,1.15035154007756e-05,2.02795215651082e-05,1.4425223437548e-06,1.61737270251068e-05,2.9069787823659e-05,2.55122813295708e-05,1.44696779481811e-05,1.10122046122153e-05,4.82570727101122e-07,1.42433835582803e-05,6.60352488449485e-07,3.59872708027989e-06,-2.43030590648919e-06,0,-1.56752980858032e-06,2.43618274587511e-06,0,-5.40570074342216e-08,-1.60933459800795e-09,0,1.28433781806443e-05,-0.000137730683709874,2.47291988044918e-05,0,-2.90266741157178e-05,-2.68383067939123e-06,9.72649205603957e-07,0
