"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",1.1442781007104e-05,-2.44935058653101e-06,4.17136930483258e-08,7.58300349701303e-09,4.75383039956249e-08,-1.09392932852632e-07,8.78197616788932e-08,-1.0289919677965e-07,-2.95663786732776e-08,-5.4274003679915e-08,3.80584258860644e-08,-3.35509261066732e-08,-6.61304070119879e-08,-3.56185791382085e-08,-1.71545971331851e-08,3.6714864195192e-07,-1.4481251186678e-07,-3.63803707299126e-08,-4.40281302460339e-07,-1.95819397081741e-07,-1.21713142960885e-07,-1.48955573195381e-07,-1.98531704274177e-07,-1.30157590868107e-07,-2.37761409228145e-07,-2.89625292143651e-07,3.1943619642732e-08,-1.88890144908003e-07,-2.54846894620857e-07,-1.6755107190673e-07,-1.63316667337913e-07,-1.72513391992208e-07,-5.77371147419888e-08,-3.46357217967247e-07,-2.40385724349346e-08,-5.73345996003582e-08,8.96641636224924e-08,-1.6046555635991e-07,1.18925304295485e-07,8.12221492486453e-08,-4.30322761449095e-06,3.11241145638339e-06,-5.04958987269623e-06,5.68800998129539e-06,8.90767427768199e-06,3.33473393675565e-06,-3.47431074597135e-06,2.34370833877879e-06,1.96837336798528e-07,2.10692068187617e-06,9.2908846615538e-07,1.5089819556271e-06,5.51198753028511e-07,1.13446348431117e-06,3.07843666297247e-07,7.88480175173136e-07,4.17161402366145e-06,-6.50984639629518e-09,-1.07999127695464e-08,-1.26923246219432e-08,-5.08843920747888e-09,-7.93122639806602e-09,-2.96331423050053e-09,9.73423592390757e-09,-4.02377790830122e-09,-8.54060180210687e-09,-3.16985048860915e-09,5.28201113756e-06,-9.51715072316372e-07,-8.69176030496079e-06,-1.18598266226806e-05,1.23527485826653e-05,-1.00774888189357e-05,6.63055644795853e-07,-6.6649702686196e-06,2.18614399573477e-06,-2.62453586483482e-07,-4.62954586076362e-08,7.67909074554266e-05,0.000299015462013867,3.54936493349906e-05,6.96523678800576e-05,1.24113376548434e-06,5.31911235622915e-06,2.04722045798754e-06
"east_of_england","alpha_D",-2.44935058653101e-06,0.000677114931596222,-1.45595164797374e-05,1.30457800234648e-06,6.72469427685978e-07,2.00986467385496e-06,-2.91714807686177e-06,2.9991513341139e-07,3.33043744286185e-07,7.8910148312718e-07,-8.65332352519742e-07,-2.78126319981553e-07,4.51035319790415e-07,-4.25748784183341e-07,1.87858754835444e-07,-1.0769678460248e-06,-9.51325717652812e-08,5.25368623424629e-07,1.00705217223784e-06,8.75286341529747e-08,5.70193192476103e-07,-2.03435563345619e-07,6.70906459006141e-07,3.08870790854769e-07,-4.04476937734684e-07,9.78291253093611e-07,-1.27128798145181e-06,-3.38992730443034e-07,7.02945615048155e-07,1.0350568225659e-06,4.64236213637573e-07,4.13625254848282e-07,1.60522310275409e-06,-8.7116389932804e-07,4.54876962695637e-07,2.36231285722561e-07,-6.72447627964912e-07,5.97337119585295e-07,8.74641624599217e-07,-2.22547644246807e-06,-5.87816790629167e-06,7.40533359241359e-06,9.34829511718205e-05,-2.76838041511485e-05,-1.78440834206697e-05,-6.25131704043387e-05,5.24982574765952e-06,4.72266915970169e-07,7.73073057456414e-06,-4.2623645000618e-05,5.66971813983563e-06,-9.42343143335414e-06,6.37543481697224e-05,-1.81607697635575e-05,3.01462090165744e-06,-8.66567990591011e-07,-4.59911689885844e-05,-2.02906818997427e-08,1.53459458578285e-08,6.05621208441471e-09,-6.08695588853011e-08,-1.90683546716843e-07,-9.54470340330818e-10,-1.0968242045143e-07,-4.81987638344447e-08,3.46673141721344e-08,1.35588708420858e-07,0.000100635704517017,-0.000384177335842951,0.000185943429268484,-2.17953537115382e-05,4.24869641478841e-05,-1.34969862645768e-05,-5.62088327007059e-05,-1.86961865679334e-05,5.75101318857857e-05,-3.12237701804021e-06,-7.6402435786597e-08,-0.000552325877976812,-0.000554140722242072,-9.57146189151073e-05,-0.000276461338275411,-3.49354394482311e-06,-1.2370730780343e-05,-1.34737465146712e-05
"east_of_england","alpha_death_hosp",4.17136930483258e-08,-1.45595164797374e-05,2.65084017255347e-05,-6.88097988299874e-07,-5.3835768993262e-07,-4.70058360186481e-10,1.19257400606956e-08,1.54006573197093e-08,-7.06716927165574e-08,-1.68995426363454e-07,2.28013400711352e-07,-3.15964223311408e-08,1.52372074077702e-08,-1.54523421955632e-07,-1.47423513918943e-08,2.37888245966662e-07,1.58399270182727e-07,-4.17736780687193e-07,6.35728279025889e-07,-5.71181577264059e-07,-5.29783597489022e-08,2.90607386977855e-08,-3.43002481782839e-07,1.00879944986985e-07,-7.93121736574824e-08,-7.15129764111629e-08,3.44724160814755e-07,-1.2276066662715e-07,-1.76619572785427e-07,4.3373946328066e-08,-3.20654417563653e-08,-2.98922946032898e-07,-5.19921994783882e-09,-6.73076292885604e-08,-1.14055990348049e-07,-1.30606072111314e-08,1.42338376022306e-07,-1.0512143165402e-07,-9.80553207636182e-08,1.20218614318064e-07,-2.65324740957914e-07,1.09568556734188e-05,5.36742185654803e-06,1.23243528283112e-05,1.66659107600018e-05,-9.37616261510497e-06,-1.03521960790546e-05,-1.78779978773047e-06,-3.27134640971171e-07,1.25523737086127e-06,3.51512759219906e-06,8.54378041686207e-08,3.40128129332062e-07,-1.74026496967874e-05,2.58138073609656e-06,-1.31826941903522e-07,3.1866033597355e-05,7.6674055280926e-09,-5.40363583919592e-09,-8.88657972427465e-09,-7.97650205332364e-09,4.72914908563806e-08,7.9552355700283e-09,1.23416598157834e-08,-3.57703707826763e-09,-5.99849702516373e-09,-9.75012781979962e-09,-7.83898155939688e-06,-6.1715611388818e-05,4.79091341342859e-06,-1.01878709355456e-05,4.16385533276608e-05,-2.2288114434339e-05,3.96634378831764e-06,-1.5613984277626e-05,1.85731721835967e-05,1.59322317664679e-06,-3.78521966618327e-08,1.30581803653684e-05,0.000473779702500018,-2.06857311903146e-05,-5.66435439264986e-05,5.98353978588866e-07,4.00103664802678e-06,-1.76493408730308e-06
"east_of_england","alpha_H",7.58300349701303e-09,1.30457800234648e-06,-6.88097988299874e-07,9.75335594217292e-07,1.49010951816733e-07,-4.03279243464646e-08,5.03988766739084e-09,-1.63514762120923e-08,-2.44725589607479e-08,1.49876268921469e-08,1.72258328104785e-08,-1.86695408303033e-08,-9.78664959268111e-09,-8.97951611473306e-08,4.14159432553171e-08,-1.04530730446539e-06,-1.82994644128541e-08,2.06933742089794e-08,-6.57810212863978e-09,-1.0330598558611e-07,2.52166497942389e-08,-2.74272758410306e-08,1.83552485539552e-08,1.08050582326122e-09,-1.31412793652891e-08,-5.07569490150801e-08,-2.78672705355318e-08,3.30657135886888e-08,-2.40795595686066e-08,-4.85093243680378e-10,-3.77900577294639e-08,8.79342917702429e-08,-6.32274001515256e-08,1.02083980423823e-07,4.41742486821225e-09,-1.65210011417036e-08,8.20535088198601e-08,-1.612762976163e-08,8.61190578742911e-08,-8.48538563573409e-08,-1.43738771054411e-06,6.39507774092311e-07,-5.08312556055947e-08,2.08275725881064e-07,-1.30880683314757e-06,-7.99111959526094e-07,3.45190102983556e-06,8.37193198409637e-07,-1.25531128971154e-06,-5.27375821057073e-07,-2.77766604886235e-08,-1.94743758866284e-07,1.67682770001218e-06,2.81258281459064e-07,-5.81217199819356e-07,2.08222622288407e-07,-1.90556128285716e-06,-4.03342403783452e-09,-6.7718916985022e-09,-1.54894383684653e-09,-1.41931489409529e-09,1.87674988102485e-09,-2.00431875688808e-09,-1.65618751273637e-09,-3.06153307562731e-09,-1.23917111315961e-09,4.05743811917085e-09,9.42955972575671e-07,2.13204007618493e-06,-1.61597512540438e-06,2.3618304040522e-06,-9.01384476892974e-07,1.96638174128786e-06,-7.35856111571415e-07,-1.18452879940198e-07,-1.84550568529777e-06,-3.96160325860797e-07,-9.37758539189441e-09,8.36662748916966e-06,6.79962837245195e-06,-6.65686958804509e-06,-2.93203558198856e-05,6.06126471231895e-07,-7.64680376179636e-07,1.58310595278156e-07
"east_of_england","beta1",4.75383039956249e-08,6.72469427685978e-07,-5.3835768993262e-07,1.49010951816733e-07,2.18533570883484e-06,2.00745546919146e-08,9.86720619649191e-08,-1.06135846478025e-07,8.70003155852224e-08,-9.64041603437516e-08,6.51693172328131e-08,-5.09021986375971e-10,1.35033739950891e-08,3.65095612058702e-09,-5.88106811103487e-09,-1.9479014514753e-06,-1.89397900529396e-09,6.13750701791965e-08,-1.2153654626894e-07,1.38480864771335e-07,8.56469769859476e-08,-2.4502144499241e-08,6.83334027765782e-08,-4.21642615361884e-08,1.23024355956815e-07,-8.54029393903285e-08,1.42878758978676e-08,5.98027674716666e-08,2.93915164035576e-08,4.89418086216248e-09,5.84589166828869e-08,-6.00029876297502e-08,6.43622942741255e-08,-1.08734228998527e-07,2.02006114211884e-08,-9.43166305759655e-08,1.04835890555463e-07,-3.80396686955032e-08,8.54744998703761e-08,-1.1615533589727e-07,-1.36879131174814e-06,2.2705037404614e-06,1.05443908125208e-06,1.56897121366025e-06,-1.18557739655808e-07,-1.15726283016574e-07,1.91256513276429e-06,-1.48332329915953e-07,-7.9291895930088e-07,3.88270276064774e-07,-3.58466724920969e-07,1.10469606420815e-07,1.60038998145372e-06,-2.01948637793674e-06,2.16155057505824e-07,1.99677097601985e-07,4.61086661534822e-06,-1.01796223205632e-08,-6.26380809961835e-09,-9.45731577726189e-09,-1.42290884612982e-10,-5.62681145718864e-09,-3.10891953836097e-09,-6.18851275380429e-09,-4.09017650484484e-09,-3.50559023971848e-09,-9.59370274569921e-10,-1.16025073381912e-07,-1.78361827467012e-06,-5.24673283197706e-07,3.23478993802598e-06,-3.18341443964298e-06,3.61919033946027e-06,-4.97102490102697e-07,7.0033416834396e-07,-2.53108134805933e-06,-4.01864016966238e-07,2.09482684480242e-08,-4.35340109017933e-06,-9.88529786890304e-05,5.84537121145464e-06,0.00059099067367364,-3.53992166366058e-07,-1.44218702415323e-06,2.55729227686439e-07
"east_of_england","beta10",-1.09392932852632e-07,2.00986467385496e-06,-4.70058360186481e-10,-4.03279243464646e-08,2.00745546919146e-08,4.68469279842591e-07,-4.90657969843564e-07,1.03121540284766e-07,-1.96304897617624e-08,3.6953247152818e-08,-1.45032062684618e-08,4.03887891278381e-09,6.97407050290612e-09,2.62330028366514e-08,-2.13678884040987e-09,-1.23522247258804e-07,2.46905137964039e-08,-2.25043734049824e-08,2.51540812605533e-08,1.00922258319672e-08,-9.33871046649905e-11,1.21169267860283e-08,4.992470781184e-09,7.2233551834221e-09,2.15576297433888e-08,1.8989206833558e-08,6.28549624566525e-09,1.04245888226963e-08,1.99338016528101e-08,3.54245774585903e-08,2.09773111163964e-08,4.87235289761719e-09,4.08727623553344e-08,3.04818612659606e-08,5.4537446781874e-09,-6.20264041523111e-09,2.54605555028533e-08,-6.64902338717195e-08,2.45637569892883e-07,-4.77424484275664e-07,-4.75928707935248e-07,2.22947025479059e-07,1.98436262774199e-06,1.23377662429253e-06,5.24638277406824e-07,-1.83454563357314e-06,-4.39563729003134e-07,-2.9135761368492e-07,-9.10493318504648e-08,3.24986290521637e-07,4.0514306449827e-07,-4.26802798182879e-07,3.93061477905752e-07,6.31887853809548e-07,-9.17745903913057e-08,-1.06272376838058e-07,-1.41458081626495e-06,3.39603548234094e-09,2.71441908498323e-10,2.92684041896675e-09,1.28852637449911e-09,5.16573304124046e-10,3.73100156194376e-10,2.10014373317676e-09,4.06847494065818e-10,6.89795526387836e-10,-5.01449426690042e-09,1.9661055558564e-07,-1.05676187850344e-05,1.31960522219259e-06,-7.33228378179649e-07,1.72940797582658e-06,-1.59863750378946e-06,1.89909928392094e-07,-4.32951069259857e-07,1.65952740101375e-06,-1.76599487396559e-07,1.21754208395788e-08,-3.09651480616658e-05,1.00331438002731e-05,-9.47740837374792e-06,-5.12046932156149e-06,-8.39165914135231e-08,2.69165998467495e-07,-9.65580006289604e-07
"east_of_england","beta11",8.78197616788932e-08,-2.91714807686177e-06,1.19257400606956e-08,5.03988766739084e-09,9.86720619649191e-08,-4.90657969843564e-07,9.07741172581371e-07,-3.47570083892168e-07,1.03302237920916e-07,-1.13943646228395e-07,1.74160030161704e-08,-9.86762612695137e-09,-8.79230414853944e-09,-5.19701320175246e-08,-3.52558400753261e-09,1.68028441703965e-07,-3.34589041588368e-08,3.37190539884947e-08,-6.81649907119316e-08,5.2249620327149e-08,-5.81324475974702e-10,-1.62925572400121e-08,-1.08576948927074e-08,1.38457629518938e-08,-2.90975211763737e-08,-3.58434635955962e-08,-1.76083412588079e-08,-4.25308801097595e-09,-3.12456410905506e-08,-1.96710039563545e-08,-1.08103390927663e-08,-4.54474438469353e-08,-1.96535062050644e-08,-7.35104442532488e-08,1.48898904578211e-08,-3.07501116222276e-08,2.30482484102272e-08,4.9876509334979e-08,-2.11241728428517e-07,3.89314135976549e-07,-3.95216076302704e-07,-8.47294834221461e-09,-2.35880600889752e-06,-7.15493073905133e-07,-9.67088443833741e-07,1.86482530693876e-06,-2.04664208727827e-07,6.44982912803357e-07,2.8996839001445e-07,-1.37183801177328e-07,-6.14311690978368e-07,1.10334903780166e-07,-3.93975506202663e-08,-1.48609155779296e-06,-1.41324624817917e-07,1.53205895601084e-07,3.04233528629385e-06,-3.73061976359732e-09,1.92065138701684e-09,-4.67806279484809e-09,2.52366222042427e-10,-2.20637619124949e-09,1.18989687546527e-09,-1.61625762234122e-09,1.10236272395132e-09,-4.63489816979144e-10,5.75741890565868e-09,-1.27075717911246e-06,1.27629955714479e-05,-1.88458060580893e-06,2.8091769107302e-06,-2.23048429269685e-06,2.22899191194895e-06,-5.85260391154855e-07,3.49267166836678e-07,-9.56805485115543e-07,-1.26067356004468e-07,-5.86019315065632e-09,0.000104789701604939,-3.33669518639516e-05,8.44254015927358e-06,3.80458756756607e-05,8.18055744723915e-07,-8.59813407176891e-07,8.15519010824217e-07
"east_of_england","beta12",-1.0289919677965e-07,2.9991513341139e-07,1.54006573197093e-08,-1.63514762120923e-08,-1.06135846478025e-07,1.03121540284766e-07,-3.47570083892168e-07,3.16922099641919e-07,-1.65975403982367e-07,1.34755869800006e-07,-4.56603710805827e-08,-5.30824636435331e-09,-6.25936447645501e-10,-1.48588142391606e-08,6.21006000200737e-09,-5.5033155714151e-09,-6.84625311327564e-09,-2.14157554802235e-08,2.50054349172919e-08,-3.99950550332676e-08,-9.99841793966822e-09,-6.28742112483544e-09,-1.53439059646567e-09,-2.12637860747294e-08,-1.2659663563548e-08,1.20272479795395e-08,8.52914552901002e-09,-2.5696329136483e-08,9.19560366481805e-09,-2.04109213156199e-08,-6.16431773601379e-10,2.68494577693989e-08,-1.44971849441323e-08,2.34255507678794e-08,-6.12455940322753e-09,1.68894920726905e-08,-2.23457639746167e-08,-2.68212123168237e-09,4.90089361790885e-08,-7.57915785365465e-08,1.31812546302363e-06,6.47912681681162e-07,1.13810656542751e-06,1.05922927065567e-07,2.83429236638063e-07,9.12923446935244e-08,-5.6012762486973e-08,-6.12543401476411e-07,-7.30498346330257e-08,1.29571600085011e-07,2.18203481510426e-07,-2.04377104254561e-07,-1.57651005855165e-06,-7.56167660087138e-08,-1.97041061417115e-08,8.15110744430776e-09,-1.78092489505621e-06,7.89611590693486e-10,-1.05910186937395e-09,2.48290775405867e-09,-6.76469588630514e-10,1.84953035845122e-09,-8.27732641392676e-10,-1.45031944196681e-10,-2.64448685178552e-10,3.87661690235327e-10,-3.06691188131565e-09,5.31275669245765e-07,-4.29848221101108e-06,1.33241336770839e-06,-1.96692069725933e-06,1.54402446078457e-06,-3.78760264632085e-07,5.05030770041904e-07,9.4422853576296e-08,-4.9271320781999e-07,1.05390160703301e-07,-3.64745682176864e-09,1.82318561198286e-05,9.39266677116434e-06,-6.57868526913555e-07,-3.39863044788924e-05,2.45570244736844e-07,2.01957360827945e-07,-2.05741343172478e-07
"east_of_england","beta13",-2.95663786732776e-08,3.33043744286185e-07,-7.06716927165574e-08,-2.44725589607479e-08,8.70003155852224e-08,-1.96304897617624e-08,1.03302237920916e-07,-1.65975403982367e-07,1.85376182524068e-07,-1.70851904258358e-07,9.10403355302971e-08,1.22771411266766e-08,1.04167439923197e-08,4.22294913048084e-08,-4.528025437831e-09,-5.19205372192807e-08,1.38436828902086e-08,1.50828261721016e-08,8.35364269859605e-09,1.45419308244399e-08,7.54802249286457e-09,1.72667432967477e-08,1.02211874823264e-08,1.63111847452599e-08,2.09446405680575e-08,1.85349577929608e-08,1.6440768750179e-09,2.48988885688402e-08,1.45252944664482e-08,3.09968756634663e-08,1.07462810176457e-08,-1.32471034960452e-08,4.95672199393871e-08,-4.93542985409711e-08,-1.89751929060071e-09,7.47043620146563e-09,-4.72777361567251e-09,1.52219194810682e-08,-2.79818343428127e-08,2.61029045281512e-08,-1.55557494569703e-07,2.37718505905656e-07,3.12428726776157e-07,4.78858658312863e-07,5.87898027483383e-07,-4.92210121182226e-07,-5.58256470307313e-08,5.4607703303593e-07,-4.1129219939568e-08,1.75472729718176e-07,1.24794709654846e-07,-6.18835497452724e-08,4.7315467554466e-07,6.53212924814418e-08,-1.81637736717221e-07,-5.80075606847927e-08,-3.42266554331763e-07,2.2742773236194e-09,4.0060742315132e-09,2.2324318037718e-09,1.80117614052713e-09,2.03377718120545e-09,1.58193347572028e-09,2.03152566710823e-09,1.30454804995456e-09,4.61154054564564e-10,2.32467428704249e-09,-1.59273092188383e-07,-2.15854603753262e-06,-4.92224245972527e-07,-1.83568469449996e-08,-1.56863676005667e-06,2.0456785237108e-07,8.17123328028724e-08,-1.75541980801254e-07,4.71984405347562e-07,-1.11163519015036e-07,7.03158943818106e-09,-1.34800863424694e-05,-2.83027085990387e-06,-1.47879821474201e-06,2.17331568764384e-05,-5.7388312544295e-07,3.41440278021357e-07,-3.12622264306639e-07
"east_of_england","beta14",-5.4274003679915e-08,7.8910148312718e-07,-1.68995426363454e-07,1.49876268921469e-08,-9.64041603437516e-08,3.6953247152818e-08,-1.13943646228395e-07,1.34755869800006e-07,-1.70851904258358e-07,3.89351074579429e-07,-2.0391222392613e-07,3.41758153488154e-08,2.26589766455399e-08,1.99362900943015e-08,4.00720437151187e-08,1.7362075636282e-07,4.44970255244453e-08,1.01028621386368e-08,1.30460643204374e-07,-6.38648817122728e-10,4.61054444848702e-08,4.50747335630177e-08,4.66794276130337e-08,5.06678353223842e-08,4.44587087594954e-08,8.08663379086641e-08,-1.90138417688157e-08,3.91564184692098e-08,9.08022255545722e-08,3.3663153596067e-08,2.29175104947646e-08,8.10775155710853e-08,-1.66553432023944e-08,1.73101124808497e-07,1.12571555851096e-08,-4.62229668930357e-09,1.30168054151222e-08,-2.40267147838029e-08,4.76350176433025e-08,-2.5810675358826e-08,-2.1895780782379e-07,-1.03536674285969e-06,-2.50848974092072e-07,-1.00439638352453e-06,-1.32967402854118e-06,-7.3267856872459e-07,8.98302369245561e-07,-7.34032090705315e-07,5.0671311577887e-08,-1.42598556589601e-08,-2.91054096709947e-07,-5.32384550396411e-07,-1.35881035966342e-06,-3.68036920787714e-08,2.75477817047716e-07,-5.80327824130209e-09,9.88918108150497e-07,-1.15185904279946e-10,-1.49980117355076e-11,-3.85587597810415e-10,2.27200626215256e-10,2.15588056989713e-10,6.94887576926063e-10,-8.56814848696596e-10,-1.56088872931122e-09,1.0160135894488e-09,-1.20805655642246e-09,4.6688999675636e-07,3.97992571187692e-06,4.83206142065696e-07,1.32524891373679e-06,1.61658196111194e-06,2.9636655364472e-07,2.70941529063343e-07,7.2543486022682e-07,-7.75330059221609e-07,2.37286461776496e-07,-1.59065168875297e-09,-8.33743859790454e-05,-1.21087360288616e-05,-4.54274387586188e-08,-2.96663925493349e-05,-1.3527855332773e-06,-6.32977039574737e-07,-1.83743039145276e-07
