"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",1.93576305590181e-05,-1.00690723346479e-05,2.55497125155618e-06,-5.3048454750166e-07,4.9632644001924e-08,3.08044618371994e-08,-3.02865991418906e-08,2.2850817381863e-07,8.08894271215016e-08,1.56261790540532e-07,-1.17594878228025e-07,2.87104079134285e-08,-4.2243035761763e-08,-1.14765777169625e-08,-2.30634960294618e-08,7.52845267108982e-07,-1.09656119832487e-07,-9.55363676954399e-08,3.85744975377135e-08,-2.94776760051451e-07,-8.75420483436331e-09,-1.58725554803481e-07,-1.14709506725703e-08,-9.18875119200017e-07,0,0,-7.54288264818522e-08,0,0,0,0,0,0,0,6.55918092252541e-08,-1.22938583117351e-07,2.93178529985017e-08,-2.23788934965155e-07,1.27609173311496e-07,-7.13808035112827e-08,-2.28134919724153e-06,4.39596865669597e-07,-4.98173343205022e-06,1.17753739798933e-06,0,4.34651548728978e-06,2.11418941436874e-06,-8.43977987768467e-07,1.78571995255106e-06,5.56420722761537e-06,-2.76006963346788e-07,3.40105187000497e-06,0,2.8128813452015e-06,4.53925789723329e-06,-8.31829008946898e-07,-1.35181265439083e-05,-3.34509533944975e-08,-2.2644056914157e-08,-3.71820376938385e-08,-3.40024556495646e-08,-3.31081231556557e-08,-2.19962763098316e-08,-2.1258831285861e-08,-1.86031349977752e-08,-1.55829702972636e-08,-1.25273537763747e-08,1.06535686138732e-05,2.01797714597868e-05,-8.2417612060418e-06,0,9.50189670391077e-06,-1.09794432469061e-05,0,8.20508424059479e-06,1.6355337590374e-06,0,-2.54831049096005e-08,0.00027344015317744,-8.82136661999987e-05,0,0.000103272726771823,-3.19041921745649e-06,2.79551427001989e-06,0
"east_of_england","alpha_D",-1.00690723346479e-05,0.00109857620971474,9.11785198410685e-06,4.86719624140387e-06,-1.6050155784794e-06,-3.12092679188737e-07,-2.02368975943861e-06,-4.74712490253893e-07,-2.1010431344493e-06,1.89734168702156e-06,2.31031171652815e-07,1.16626470802904e-07,5.40780008198145e-07,5.30946504078479e-08,1.18029575947402e-06,-5.53220165130686e-06,9.79051427148351e-07,3.17496387571923e-06,3.79048669385758e-06,3.34490098230878e-06,9.80101683302712e-07,2.50618814147738e-06,1.97627344546813e-06,-6.98489857142619e-07,0,0,-8.1649617536249e-07,0,0,0,0,0,0,0,3.33071688806718e-07,-1.50943494124516e-07,6.04762599307508e-07,-1.20945401405197e-06,2.56632747925744e-06,-2.11434955915798e-06,-2.56924306231781e-05,5.2648186260338e-05,0.000130491238951718,6.13200526229178e-05,0,-4.2601113764416e-05,7.92485676669871e-05,-6.41843226123157e-05,-5.8064647845432e-05,-9.18794371183545e-05,1.60487290926459e-05,-2.75812342883526e-06,0,-2.24757115008705e-05,2.62158032718245e-06,6.90905318648679e-06,4.09465541928549e-05,-1.2242127570891e-07,-3.57744212756239e-07,-3.76879620570033e-07,-2.0301899095407e-07,-4.81462674954525e-07,-7.06428883380159e-08,-2.35834167633116e-07,-7.82782416572457e-08,-5.86278366626904e-08,-1.86854556021935e-07,2.75655348430752e-05,-0.000425968668690455,6.21113969160339e-05,0,0.000129072808316176,6.6463613020101e-05,0,-3.51071303708095e-05,-0.000104701504665901,0,9.40501976362614e-08,-0.0038383219145904,0.000570257549687877,0,-0.000875770443681184,-5.11506351597604e-05,-7.08983605343707e-05,0
"east_of_england","alpha_death_hosp",2.55497125155618e-06,9.11785198410685e-06,2.59839413694143e-05,-1.74497186020491e-06,-3.84167194793312e-07,4.61408723788027e-08,-1.49793167705495e-07,-1.43958603631641e-07,-7.59159693684739e-08,2.50583861005275e-07,9.49454227701804e-08,1.17248366045056e-07,1.09971573433534e-07,7.77024867069305e-08,1.00801499826424e-07,-1.18880610629979e-07,2.219151884429e-07,1.54009430170781e-07,9.77096113744316e-08,7.10477452326096e-07,2.99573424380071e-08,2.45926176579145e-07,1.36062658126411e-07,-3.00887702226047e-07,0,0,4.31571479543462e-07,0,0,0,0,0,0,0,-1.91253636963963e-07,1.1016023448109e-07,-1.80976153495357e-07,4.48454203252832e-09,-2.7418324186266e-07,5.61870250570689e-08,-8.57730179360904e-07,7.68022819020685e-06,-4.90875736857809e-06,1.80210519895537e-05,0,1.7620600033777e-05,5.36500364926703e-07,-6.91682425043037e-07,1.58181583528297e-06,6.81886189970943e-07,1.75070505759107e-06,1.90050513993185e-06,0,-1.62808626503035e-05,5.10554382410372e-06,9.74479133100102e-08,1.85312714404748e-05,-5.72038847402854e-08,-8.34571010985337e-08,-6.00316933991189e-08,-3.52550596219174e-08,-7.98443441523786e-08,-2.5631055562209e-08,-2.49316836485743e-08,-3.50578498741838e-08,-2.30129024820817e-08,-7.59182357876262e-09,1.39047058027273e-05,-5.36966698036227e-06,-1.75182175897718e-05,0,2.87723033111357e-05,-1.04660545765547e-05,0,-8.63062664363543e-07,2.78984430592668e-07,0,6.85968228535955e-09,-0.000522062996393522,-3.85102439814838e-05,0,3.11732710357452e-05,-1.37386427925066e-05,-3.02472198017922e-06,0
"east_of_england","alpha_H",-5.3048454750166e-07,4.86719624140387e-06,-1.74497186020491e-06,3.45380526956441e-06,7.48814703184498e-08,-1.32745509677025e-07,1.41321090637856e-07,1.96879440448325e-07,1.42263775357933e-08,-9.05567184469768e-08,-2.16288309978386e-08,-4.14781461583579e-08,-6.79970099973344e-08,-1.19651399712935e-07,-1.10785414702955e-08,-1.79105612700423e-06,5.6976789346839e-08,4.03912052491913e-07,4.3534990817402e-08,3.33654194566085e-08,3.19845873124507e-08,5.30878189925087e-08,1.01011436051781e-07,-3.34213411870665e-07,0,0,-9.19790606463671e-08,0,0,0,0,0,0,0,1.29338874772356e-08,1.15645413966801e-08,6.82072964464763e-08,1.10257646616599e-07,1.51466496867513e-07,-2.04869907983865e-07,9.73395163537775e-07,-1.41234277784018e-06,-3.51762726349842e-06,-6.68862202441273e-06,0,1.58328886691316e-07,5.22339597084094e-06,-5.77292976601546e-07,-8.34763799359289e-06,5.5968870674503e-08,-1.1583418528761e-06,-8.80769058303657e-08,0,1.53344301517524e-07,-2.38494724015769e-06,3.92367228154309e-07,-3.30743533863042e-06,-1.63956375496956e-09,-4.1711616464829e-09,-6.9132099492873e-09,-4.44040526864525e-10,-2.12253141605693e-08,-5.31015976690698e-09,-9.81755983948498e-09,-6.40011595472397e-09,-3.82220880560685e-09,-1.67995909238328e-09,3.79795274502073e-06,2.14632642280261e-05,-2.90386357908424e-06,0,-2.24566323559912e-06,1.56921888453011e-05,0,-4.88175130403058e-06,-1.34104416493098e-05,0,-2.52522765221331e-08,0.000316981814385483,0.000644260165567159,0,-0.00012430890723541,5.06137355970965e-06,-6.44145409683326e-06,0
"east_of_england","beta1",4.9632644001924e-08,-1.6050155784794e-06,-3.84167194793312e-07,7.48814703184498e-08,7.02951599750105e-06,8.92430462219241e-08,-9.68867996058435e-08,1.29819683452836e-08,-8.09325592737376e-09,-3.27045032789784e-08,-3.84206731953009e-08,2.061180482859e-09,-3.03897969505322e-08,1.67507928425817e-08,1.00694507298233e-08,-5.69944369274933e-06,-4.79955891473069e-08,-4.97415568830462e-08,-8.07147738282984e-08,-2.13174649884811e-07,3.98943035785937e-08,-8.36366599706914e-08,7.77068623580386e-10,-3.96243433684503e-07,0,0,1.9174911365604e-07,0,0,0,0,0,0,0,-9.4760491805443e-08,1.5320998487101e-07,-6.29646579113023e-08,-1.53745302912179e-07,3.60599947192259e-07,-1.75639569045473e-07,-1.28384858477895e-06,4.23188708973354e-07,-2.05215270729576e-07,2.03879077630245e-06,0,1.35643100881394e-06,-2.01734021143477e-06,-2.451939743331e-06,-2.12938773865844e-06,-5.96273908656553e-07,-1.85511726965731e-08,-1.39830061845462e-06,0,-7.11989140050156e-07,7.61279972694594e-07,3.08095967421174e-07,-2.44275404196807e-06,1.29525066314357e-08,1.68077440317045e-08,1.9751970123684e-09,4.73758925154892e-11,-1.30029807021779e-08,1.03178583469506e-08,7.78855346675674e-09,-6.80069086821145e-09,-2.35099469878112e-09,2.59925198328732e-09,2.623143151945e-06,8.9506436999935e-07,-3.50892292030038e-06,0,3.58095865900374e-06,4.73293187240572e-07,0,-3.34677204838596e-06,1.39158513698745e-06,0,-2.49683776835291e-10,1.39927499222591e-05,-1.84131637124705e-05,0,0.00146633902580604,1.47205771190675e-06,1.5224120505348e-06,0
"east_of_england","beta10",3.08044618371994e-08,-3.12092679188737e-07,4.61408723788027e-08,-1.32745509677025e-07,8.92430462219241e-08,5.48231946546837e-07,-5.42302160128678e-07,1.29174023191249e-07,-1.32172756608406e-10,4.11073738856311e-08,1.38386380379856e-08,3.2397151980632e-09,1.29275224115491e-08,4.61373889957008e-09,4.45366724344098e-08,2.00907162570136e-08,-1.66551982193804e-08,-1.16964812127843e-08,-1.27671826439876e-07,2.90844533139344e-08,-2.87084329526519e-08,-2.39867824284193e-08,-2.81593413561276e-08,-8.38141623641289e-09,0,0,1.0842818797965e-08,0,0,0,0,0,0,0,1.04868469853676e-09,-1.36261556178029e-08,5.41335021106498e-08,-1.00738428070563e-07,3.11935705281348e-07,-5.76269179381018e-07,8.01384040896214e-07,-3.63953400939644e-07,-1.01654258503142e-06,-5.24552916035277e-07,0,-2.24872787124177e-07,3.46798165354354e-07,-1.08919161418322e-06,-3.23093837540715e-07,5.09071278016211e-07,-1.11331255037843e-07,-6.45221996623269e-07,0,4.05398812415845e-07,-4.77554744323046e-08,6.30055720893813e-08,4.37311809284404e-07,-5.77591214746244e-10,7.50885844839869e-10,7.87640606283337e-11,1.13805614567435e-09,-5.50105372549952e-09,1.89232514442159e-09,5.73476979425647e-10,5.1628385701023e-10,2.54223351009408e-10,3.64899880113938e-09,-3.83800439086814e-07,2.276178007533e-06,-7.39915804009536e-07,0,3.61742172547126e-06,-9.56442046052374e-07,0,-6.4996587430344e-07,1.02326367017337e-06,0,7.20704359073496e-09,-7.4926307700215e-06,1.67464496310775e-05,0,1.9219505695282e-05,-4.95952782791524e-07,1.63548364520491e-06,0
"east_of_england","beta11",-3.02865991418906e-08,-2.02368975943861e-06,-1.49793167705495e-07,1.41321090637856e-07,-9.68867996058435e-08,-5.42302160128678e-07,1.10960470193694e-06,-1.34647841058124e-07,1.22993832024715e-07,-2.07784708651499e-07,-8.46426174403667e-08,-7.18978954563897e-08,-9.35710462418169e-08,-1.35191714501247e-07,-1.12330601266317e-07,5.91850518795785e-08,-1.75222490628043e-07,-2.18679229843036e-07,-1.23588090187001e-07,-2.32161079347529e-07,-1.39464864172992e-07,-1.56854690418779e-07,-1.6824487947932e-07,-1.92933959346181e-07,0,0,-3.99768824793334e-09,0,0,0,0,0,0,0,-1.13093077985581e-08,1.71877186405375e-08,-3.22872356851439e-08,6.53366210307235e-08,-1.94745789625788e-07,4.23578316262394e-07,-2.19618460292567e-07,1.3568046010393e-07,-3.83261289961854e-06,-1.50352923141031e-06,0,2.54500479300671e-06,-1.42473505610094e-06,1.2840045125621e-06,5.82073778515196e-07,-1.33649327056524e-07,-6.02498927938761e-07,6.1696418699711e-07,0,1.2037883475073e-07,-1.38033932609438e-07,9.61710478976552e-08,-5.19142733236893e-07,3.05938133384431e-09,8.92418828153377e-09,5.88842529445567e-09,2.3845027112242e-09,1.16590408042894e-08,1.04332532267542e-09,4.50043087681214e-09,1.79580608544576e-09,1.06838714530406e-09,1.06136096498359e-09,1.14528926538469e-06,9.27822456390338e-06,-2.64871251660557e-08,0,-3.21752931495038e-06,-1.0374686575728e-06,0,-1.29284981910986e-07,-7.99119047993612e-07,0,-8.0638480498033e-09,0.000531877606367813,-0.000138093904404263,0,-1.97320329170914e-05,7.80534652588796e-06,1.09151272647823e-06,0
"east_of_england","beta12",2.2850817381863e-07,-4.74712490253893e-07,-1.43958603631641e-07,1.96879440448325e-07,1.29819683452836e-08,1.29174023191249e-07,-1.34647841058124e-07,8.30872371195186e-07,5.55465302570469e-08,2.2045059985984e-08,-1.01809755163828e-07,-5.82133084165374e-08,-9.14683755303266e-08,-1.01747658121349e-07,-9.7624280785438e-08,-1.8401437942561e-07,-1.22064630574919e-07,-1.71921337143385e-07,-1.41898885428339e-07,-2.26683957752504e-07,-1.23137199878237e-07,-1.75223946815417e-07,-1.72929809351137e-07,5.79949974059651e-08,0,0,6.11428751169282e-09,0,0,0,0,0,0,0,-1.54455943031384e-08,-2.21948269119618e-08,2.635460554333e-08,-5.50413200156621e-08,4.16566544967365e-08,-1.0060789647286e-07,-4.74426941635507e-07,3.40970847455802e-07,-7.77126837399263e-06,-1.97357116367607e-06,0,2.55907046536359e-06,-1.05962406416882e-06,7.34259623609993e-07,-8.07501819517914e-07,6.43814864996187e-07,-1.60114394562915e-06,2.53538253369065e-06,0,-2.86662250309171e-08,-9.60567559236529e-08,-1.73293947125282e-07,-5.54841719624091e-07,2.47153805472209e-09,3.40112485446076e-09,1.59103443245988e-09,2.26934286716504e-09,-1.04221294302906e-09,2.16213581621046e-09,1.88825479177121e-09,1.25388033862144e-09,3.21338656386953e-11,2.01980869905860e-09,-2.15787851984551e-07,2.20850186088599e-05,-5.12050235304983e-06,0,-8.10701111962932e-06,-7.18871984135496e-07,0,2.41972999721892e-07,1.38655207644076e-06,0,-7.68024166793925e-09,0.000831668194899502,9.25658878274597e-05,0,1.41820281842344e-05,6.25756563310914e-06,1.67112258203533e-06,0
"east_of_england","beta13",8.08894271215016e-08,-2.1010431344493e-06,-7.59159693684739e-08,1.42263775357933e-08,-8.09325592737376e-09,-1.32172756608406e-10,1.22993832024715e-07,5.55465302570469e-08,4.71565207414841e-07,7.34142613112807e-08,2.85493585304941e-07,1.31842266715654e-07,1.43255786359944e-07,2.20061190409957e-07,1.77872354753883e-07,8.14476516911209e-08,1.52904873504735e-07,1.33621286038812e-08,1.53466735735117e-07,1.33184329643626e-07,1.07691347368536e-07,1.58175899177864e-07,1.34719712331582e-07,2.44181320834993e-07,0,0,1.13177602982026e-09,0,0,0,0,0,0,0,-7.8055251321942e-09,-9.89959064793814e-09,2.49426683188483e-08,-3.52074531716066e-08,3.66243015820048e-09,1.18008248068086e-08,-9.72060647816881e-07,-2.7066404583251e-07,-3.82572321401266e-06,-1.43268661729659e-06,0,9.24864743659901e-07,-6.34703872097591e-07,-2.32184765066254e-07,8.80150529400481e-07,4.15347062261699e-07,-6.3118306857675e-07,7.43685019000203e-07,0,3.17989123808294e-07,1.12504253339164e-07,-5.02273855304372e-08,-3.74693018668418e-07,1.3124045631984e-09,5.82844923474261e-09,2.55170001573205e-09,2.61620937369414e-09,1.43512384064573e-09,1.81135888872854e-09,2.57550204521663e-09,3.24008247599259e-09,-1.87739089581498e-10,3.00323918911338e-09,1.29443891082554e-06,1.05058417915031e-05,-3.92387507387514e-07,0,-2.16333817821026e-06,-1.88741877542291e-06,0,1.3520092735465e-08,-1.53377863498961e-06,0,6.31480137283771e-09,5.24831151594527e-06,-0.000278592154305179,0,8.69438615595699e-06,-1.23524958007232e-05,3.6998852639463e-06,0
"east_of_england","beta14",1.56261790540532e-07,1.89734168702156e-06,2.50583861005275e-07,-9.05567184469768e-08,-3.27045032789784e-08,4.11073738856311e-08,-2.07784708651499e-07,2.2045059985984e-08,7.34142613112807e-08,5.24117445139193e-07,1.30930172616079e-07,1.85830222097174e-07,1.92544378280588e-07,3.02598636240672e-07,2.48356698894548e-07,4.30781910294627e-08,2.65855943103168e-07,2.45145221843983e-07,3.15826990198197e-07,3.67382377062629e-07,2.30814092070707e-07,3.10823337404216e-07,3.11722927958731e-07,3.17179919422094e-07,0,0,-2.12968227972428e-09,0,0,0,0,0,0,0,1.56080007524415e-08,-1.50673563042923e-08,1.52993394873702e-08,2.68367803449367e-09,-1.04088578198566e-09,-2.46463235859185e-08,-6.3911765638901e-07,-6.42319452754656e-07,-2.89693208425461e-08,4.20560946811981e-07,0,-1.7817891058161e-07,2.01781881897126e-07,-8.26887257026871e-07,-3.85576773056098e-07,-1.92165203358968e-07,2.26435922822656e-09,-1.10290915712388e-06,0,3.58348257935021e-07,6.36266594967985e-07,-3.85412347790329e-08,3.04050486041007e-07,-2.54366579494267e-09,2.23600820809242e-09,1.85362372620877e-09,2.77959831177336e-10,4.48656154475843e-09,-1.88364199721812e-09,1.49887088880739e-09,3.96637347690775e-09,7.27623205277653e-10,6.09411442535656e-10,1.72365498803794e-06,-8.21013880049666e-07,-1.59807734372022e-07,0,5.91549055059372e-06,-9.20164625495524e-07,0,-1.4054113702055e-07,-4.2668140961783e-07,0,2.27535487218167e-09,-0.000518972252900225,-0.000210082995832064,0,-1.2181500059813e-05,-1.6803850583799e-05,6.12850342333072e-07,0
